reference_number,vendor,customer_name,street_address,contact_phone,postcode_region,commissioning_date,connectivity,service_tier,last_service_visit,vendor_canonical,reference_status,reference_canonical,unit_id,reference_resolution,connectivity_conflict
TH-02173,OEM_B,Manuela Lindemann,Tannenweg 61a,redacted,70,2023-04-06,connected,optimize,,B,canonical,TH-02173,TH-02173,resolved,False
  TH-02174 ,oem-b,Dagmar Vollmer,Kirchweg 71,redacted,40,03.10.2025,unknown,care,2025-08-25,B,canonical,TH-02174,TH-02174,resolved,False
  TH-02175 ,B,Jörg Ebeling,Erlenring 34,redacted,80,2023-03-30,connected,free,2026-04-08,B,canonical,TH-02175,TH-02175,resolved,False
TH-02176,OEM_B,Bogdan Zschiesche,Ahornweg 141a,redacted,90,2023-02-17,connected,care,2024-11-28,B,canonical,TH-02176,TH-02176,resolved,False
TH-02177,OEM B,Thorsten Jansen,Erlenring 64,redacted,60,2025-06-25,connected,care,2025-09-09,B,canonical,TH-02177,TH-02177,resolved,False
02178,oem-b,Sabine Thiemann,Erlenring 68,redacted,60,21.10.2024,connected,optimize,2026-04-16,B,digits_only,TH-02178,TH-02178,resolved,False
TH 02179,OEM_B,Norbert Kaminski,Nordring 24,redacted,70,03.12.2024,not_connected,optimize,2025-06-08,B,format_variant,TH-02179,TH-02179,resolved,False
TH-02180-1,B,Andreas Radtke,Hauptstraße 123b,redacted,10,17.10.2025,connected,optimize,2026-02-07,B,suffix_variant,,TH-02180,telemetry_confirmed_suffix,False
TH-02181,B,Christoph Radtke,Kirchweg 62a,redacted,50,2023-07-04,connected,optimize,2025-12-22,B,canonical,TH-02181,TH-02181,resolved,False
  TH-02182 ,B,Bettina Ebeling,Pappelweg 18,redacted,40,2025-11-09,connected,optimize,2026-02-24,B,canonical,TH-02182,TH-02182,resolved,False
TH-02183,OEM_B,Thorsten Ebeling,Waldsaum 91b,redacted,70,19.09.2023,not_connected,free,,B,canonical,TH-02183,TH-02183,resolved,False
TH-02184,OEM B,Thorsten Bartels,Buchenkamp 4,redacted,50,2023-05-16,connected,free,,B,canonical,TH-02184,TH-02184,resolved,False
TH-02185-1,oem-b,Claudia Kaminski,Ahornweg 116,redacted,81,2023-12-24,connected,free,,B,suffix_variant,,TH-02185,telemetry_confirmed_suffix,False
  TH-02186 ,oem-b,Wiebke Sassenberg,Pappelweg 128b,redacted,70,2025-02-03,not_connected,free,2024-09-14,B,canonical,TH-02186,TH-02186,resolved,False
th-02187,B,Bogdan Ahrens,Gartenstraße 12a,redacted,13,29.03.2025,connected,optimize,,B,canonical,TH-02187,TH-02187,resolved,False
TH 02188,oem-b,Holger Ebeling,Waldsaum 111,redacted,4,2025-02-02,connected,free,2025-02-11,B,format_variant,TH-02188,TH-02188,resolved,False
TH-02189,B,Jörg Ebeling,Schulstraße 118,redacted,4,2025-04-07,connected,care_plus,2024-11-16,B,canonical,TH-02189,TH-02189,resolved,False
TH-02190,oem-b,Gerhard Vollmer,Ahornweg 9,redacted,90,2025-01-21,connected,free,2025-07-17,B,canonical,TH-02190,TH-02190,resolved,False
TH-02191,oem-b,Bettina Weinhold,Birkenallee 64a,redacted,90,18.02.2024,unknown,free,,B,canonical,TH-02191,TH-02191,resolved,False
TH-02192,B,Manuela Möllenkamp,Quellenstraße 35,redacted,22,10.10.2025,connected,free,2026-03-09,B,canonical,TH-02192,TH-02192,resolved,False
th-02193,OEM B,Ulrike Möllenkamp,Erlenring 9,redacted,4,05.01.2025,not_connected,optimize,2025-05-23,B,canonical,TH-02193,TH-02193,resolved,False
TH-02194-1,OEM_B,Ulrike Möllenkamp,Schulstraße 52b,redacted,4,2024-05-23,connected,care_plus,2025-10-06,B,suffix_variant,,TH-02194,telemetry_confirmed_suffix,False
TH-02195,B,Norbert Zschiesche,Im Winkel 46a,redacted,30,2024-12-26,connected,optimize,2024-12-11,B,canonical,TH-02195,TH-02195,resolved,False
th-02196,OEM B,Ingrid Radtke,Buchenkamp 100b,redacted,81,31.05.2023,connected,care_plus,,B,canonical,TH-02196,TH-02196,resolved,False
TH 02197,B,Norbert Kaminski,Im Winkel 78,redacted,50,2023-07-26,not_connected,care_plus,,B,format_variant,TH-02197,TH-02197,resolved,False
TH-02198,B,Andreas Thiemann,Feldmark 8b,redacted,81,20.08.2024,not_connected,care,2024-12-06,B,canonical,TH-02198,TH-02198,resolved,False
TH-02199-1,OEM_B,Ingrid Hillebrand,Feldmark 5,redacted,4,16.04.2025,unknown,free,,B,suffix_variant,,TH-02199,duplicate_of_base,True
TH-02200,OEM B,Sabine Hillebrand,Kirchweg 66,redacted,10,2024-04-15,not_connected,free,2025-09-09,B,canonical,TH-02200,TH-02200,resolved,False
02201,OEM B,Manuela Möllenkamp,Nordring 42,redacted,50,2025-11-20,unknown,care,2024-08-26,B,digits_only,TH-02201,TH-02201,resolved,False
TH-02202,oem-b,Lothar Fährmann,Ahornweg 40a,redacted,70,2023-04-25,connected,free,2026-05-07,B,canonical,TH-02202,TH-02202,resolved,False
  TH-02203 ,OEM B,Petra Pfefferle,Im Winkel 124b,redacted,90,2025-10-15,not_connected,free,,B,canonical,TH-02203,TH-02203,resolved,False
TH-02204,oem-b,Katrin Kaminski,Waldsaum 46,redacted,22,21.07.2025,connected,optimize,2026-03-21,B,canonical,TH-02204,TH-02204,resolved,False
th-02205,OEM_B,Ulrike Ebeling,Uferstraße 13a,redacted,80,2025-12-06,not_connected,care_plus,2025-02-08,B,canonical,TH-02205,TH-02205,resolved,False
TH-02206,oem-b,Manuela Thiemann,Tannenweg 40,redacted,60,09.02.2025,connected,optimize,2026-01-21,B,canonical,TH-02206,TH-02206,resolved,False
TH-02207,OEM B,Gudrun Sassenberg,Dorfstraße 102,redacted,81,2023-05-12,connected,optimize,2026-03-23,B,canonical,TH-02207,TH-02207,resolved,False
TH 02208,oem-b,Dieter Oestreich,Schulstraße 81,redacted,30,2023-05-05,unknown,optimize,,B,format_variant,TH-02208,TH-02208,resolved,False
TH-02209,oem-b,Gudrun Grabowski,Buchenkamp 23,redacted,20,2025-07-06,not_connected,free,,B,canonical,TH-02209,TH-02209,resolved,False
TH-02210,B,Wiebke Oberkamp,Hauptstraße 99,redacted,4,28.04.2025,not_connected,free,2024-11-09,B,canonical,TH-02210,TH-02210,resolved,False
TH-02211,OEM B,Holger Grabowski,Ostpreußenweg 59,redacted,44,2024-07-18,not_connected,optimize,2024-07-27,B,canonical,TH-02211,TH-02211,resolved,False
TH-02212,OEM_B,Christoph Fährmann,Birkenallee 15,redacted,10,2025-08-25,not_connected,free,2025-06-20,B,canonical,TH-02212,TH-02212,resolved,False
02213,OEM B,Wiebke Radtke,Nordring 56b,redacted,13,2023-03-03,connected,care_plus,2025-12-20,B,digits_only,TH-02213,TH-02213,resolved,False
  TH-02214 ,OEM B,Ingrid Pfefferle,Lindenhof 130,redacted,70,2023-10-15,connected,optimize,2025-03-02,B,canonical,TH-02214,TH-02214,resolved,False
TH-02215,OEM_B,Frank Weinhold,Schulstraße 110a,redacted,20,2024-11-04,connected,care,,B,canonical,TH-02215,TH-02215,resolved,False
TH-02216,OEM_B,Heike Weinhold,Ostpreußenweg 82,redacted,22,18.10.2025,connected,care,,B,canonical,TH-02216,TH-02216,resolved,False
TH-02217,OEM B,Claudia Fährmann,Uferstraße 37,redacted,70,2025-03-06,not_connected,optimize,2026-03-21,B,canonical,TH-02217,TH-02217,resolved,False
TH-02218,OEM_B,Ulrike Möllenkamp,Erlenring 124,redacted,10,29.01.2026,not_connected,free,,B,canonical,TH-02218,TH-02218,resolved,False
TH-02219,oem-b,Petra Fährmann,Pappelweg 133,redacted,44,2025-09-23,not_connected,optimize,2025-06-14,B,canonical,TH-02219,TH-02219,resolved,False
TH-02220,OEM_B,Volker Vollmer,Kirchweg 138,redacted,60,20.03.2024,unknown,free,2024-07-25,B,canonical,TH-02220,TH-02220,resolved,False
TH-02221,OEM B,Volker Pfefferle,Dorfstraße 124,redacted,13,2025-07-09,connected,free,2026-01-30,B,canonical,TH-02221,TH-02221,resolved,False
TH-02222,OEM B,Kerstin Zschiesche,Pappelweg 50,redacted,50,2025-09-11,not_connected,free,2025-02-12,B,canonical,TH-02222,TH-02222,resolved,False
TH-02223,B,Lothar Radtke,Ahornweg 98,redacted,4,2025-06-04,connected,free,2026-05-06,B,canonical,TH-02223,TH-02223,resolved,False
TH-02224,oem-b,Jörg Lindemann,Birkenallee 51,redacted,80,2025-12-09,connected,optimize,2025-12-09,B,canonical,TH-02224,TH-02224,resolved,False
TH-02225-1,OEM_B,Jörg Dettmer,Schulstraße 110a,redacted,60,2025-10-29,unknown,free,2024-12-08,B,suffix_variant,,TH-02225,suffix_unresolved,False
TH-02226,oem-b,Kerstin Oberkamp,Ahornweg 29,redacted,70,2025-12-14,connected,free,,B,canonical,TH-02226,TH-02226,resolved,False
TH-02227,B,Ulrike Kaminski,Gartenstraße 35,redacted,60,18.01.2026,not_connected,free,2025-09-24,B,canonical,TH-02227,TH-02227,resolved,False
TH-02228,OEM B,Dieter Oberkamp,Im Winkel 6,redacted,10,2023-07-10,connected,care,2024-07-28,B,canonical,TH-02228,TH-02228,resolved,False
02229,OEM_B,Bogdan Bartels,Birkenallee 52,redacted,80,14.01.2023,not_connected,care_plus,2024-12-20,B,digits_only,TH-02229,TH-02229,resolved,False
TH-02230,oem-b,Gudrun Hillebrand,Uferstraße 53,redacted,13,2025-03-18,connected,care,,B,canonical,TH-02230,TH-02230,resolved,False
  TH-02231 ,OEM_B,Sabine Oberkamp,Ahornweg 48,redacted,10,2025-04-05,connected,care,2025-02-22,B,canonical,TH-02231,TH-02231,resolved,False
th-02232,OEM_B,Ingrid Radtke,Mühlenstraße 94,redacted,12,22.04.2024,unknown,free,2025-02-26,B,canonical,TH-02232,TH-02232,resolved,False
TH-02233,OEM_B,Kerstin Lindemann,Hauptstraße 75,redacted,12,2024-09-01,unknown,care,2024-11-11,B,canonical,TH-02233,TH-02233,resolved,False
TH-02234-1,B,Wiebke Pfefferle,Dorfstraße 43a,redacted,90,2024-12-03,connected,free,2025-03-26,B,suffix_variant,,TH-02234,telemetry_confirmed_suffix,False
TH-02235,oem-b,Bettina Gebhardt,Nordring 73,redacted,4,29.09.2023,connected,free,2025-08-17,B,canonical,TH-02235,TH-02235,resolved,False
  TH-02236 ,B,Katrin Fährmann,Quellenstraße 86b,redacted,20,2023-04-10,connected,optimize,,B,canonical,TH-02236,TH-02236,resolved,False
TH-02237,oem-b,Jens Weinhold,Quellenstraße 127,redacted,10,23.11.2024,not_connected,care,2024-11-04,B,canonical,TH-02237,TH-02237,resolved,False
02238,oem-b,Rainer Ahrens,Im Winkel 138a,redacted,81,2024-12-15,connected,free,,B,digits_only,TH-02238,TH-02238,resolved,False
TH-02239,OEM B,Christoph Lindemann,Dorfstraße 8,redacted,70,18.05.2023,connected,care,2025-02-02,B,canonical,TH-02239,TH-02239,resolved,False
  TH-02240 ,OEM B,Bogdan Möllenkamp,Ahornweg 45,redacted,90,29.09.2023,connected,optimize,2025-02-10,B,canonical,TH-02240,TH-02240,resolved,False
th-02241,OEM B,Lothar Möllenkamp,Tannenweg 87b,redacted,44,2023-09-21,not_connected,free,,B,canonical,TH-02241,TH-02241,resolved,False
TH-02242,B,Ingrid Lindemann,Im Winkel 100,redacted,4,2024-10-09,connected,free,2026-03-28,B,canonical,TH-02242,TH-02242,resolved,False
TH-02243,OEM B,Volker Hillebrand,Kirchweg 138,redacted,40,2024-12-16,connected,optimize,2024-09-23,B,canonical,TH-02243,TH-02243,resolved,False
TH-02244,OEM B,Christoph Zschiesche,Quellenstraße 19,redacted,50,2025-10-07,connected,free,2024-07-08,B,canonical,TH-02244,TH-02244,resolved,False
TH-02245,oem-b,Ahmet Gebhardt,Dorfstraße 89,redacted,20,2025-04-12,connected,care,2025-02-28,B,canonical,TH-02245,TH-02245,resolved,False
TH-02246,oem-b,Heike Lindemann,Hauptstraße 63,redacted,10,02.11.2025,connected,free,2025-08-28,B,canonical,TH-02246,TH-02246,resolved,False
TH-02247,OEM_B,Gerhard Ebeling,Schulstraße 65a,redacted,81,16.05.2025,connected,free,2024-07-04,B,canonical,TH-02247,TH-02247,resolved,False
TH-02248,B,Manuela Fährmann,Waldsaum 2,redacted,50,2025-12-28,connected,optimize,2026-01-06,B,canonical,TH-02248,TH-02248,resolved,False
02249,oem-b,Katrin Gebhardt,Nordring 69,redacted,4,2024-11-20,connected,free,2025-01-19,B,digits_only,TH-02249,TH-02249,resolved,False
TH-02250,OEM B,Claudia Fährmann,Feldmark 6b,redacted,13,2025-09-15,connected,free,2025-03-23,B,canonical,TH-02250,TH-02250,resolved,False
TH-02251,B,Bettina Ebeling,Birkenallee 79,redacted,12,2024-12-27,connected,optimize,2025-12-03,B,canonical,TH-02251,TH-02251,resolved,False
TH-02252,OEM_B,Rainer Ebeling,Birkenallee 36,redacted,10,2025-12-20,not_connected,care,2025-10-10,B,canonical,TH-02252,TH-02252,resolved,False
02253,OEM_B,Wiebke Möllenkamp,Tannenweg 67,redacted,12,2024-11-07,unknown,optimize,,B,digits_only,TH-02253,TH-02253,resolved,False
TH-02254,OEM_B,Katrin Hillebrand,Birkenallee 64,redacted,10,2023-01-31,not_connected,free,,B,canonical,TH-02254,TH-02254,resolved,False
02255,oem-b,Norbert Dettmer,Uferstraße 22a,redacted,44,20.02.2024,connected,care,2024-12-04,B,digits_only,TH-02255,TH-02255,resolved,False
TH-02256,oem-b,Frank Ahrens,Waldsaum 50,redacted,13,2024-05-29,connected,care_plus,2024-08-26,B,canonical,TH-02256,TH-02256,resolved,False
  TH-02257 ,oem-b,Rainer Niehaus,Mühlenstraße 36a,redacted,22,2025-06-14,connected,free,,B,canonical,TH-02257,TH-02257,resolved,False
th-02258,OEM B,Gerhard Oberkamp,Hauptstraße 55,redacted,90,2024-09-12,connected,free,,B,canonical,TH-02258,TH-02258,resolved,False
02259,OEM_B,Gerhard Sassenberg,Pappelweg 72,redacted,44,2025-02-28,connected,care,2024-11-17,B,digits_only,TH-02259,TH-02259,resolved,False
TH-02260,OEM B,Heike Gebhardt,Pappelweg 59,redacted,70,2023-11-06,connected,care,2025-05-04,B,canonical,TH-02260,TH-02260,resolved,False
TH-02261,B,Sabine Bartels,Gartenstraße 88,redacted,4,2023-08-08,not_connected,care,2024-08-16,B,canonical,TH-02261,TH-02261,resolved,False
  TH-02262 ,OEM B,Eva Kaminski,Gartenstraße 26a,redacted,40,14.09.2023,connected,care_plus,,B,canonical,TH-02262,TH-02262,resolved,False
02263,OEM B,Bogdan Grabowski,Birkenallee 45,redacted,22,19.08.2025,not_connected,free,2026-02-17,B,digits_only,TH-02263,TH-02263,resolved,False
TH-02264,OEM_B,Gudrun Jansen,Ostpreußenweg 4,redacted,70,2023-07-26,not_connected,free,,B,canonical,TH-02264,TH-02264,resolved,False
TH-02265,B,Christoph Fährmann,Ahornweg 64,redacted,10,2025-11-02,connected,free,,B,canonical,TH-02265,TH-02265,resolved,False
TH-02266,oem-b,Dagmar Brinkmann,Buchenkamp 21,redacted,4,2025-01-13,connected,care_plus,,B,canonical,TH-02266,TH-02266,resolved,False
02267,OEM B,Claudia Jansen,Mühlenstraße 96,redacted,90,2025-09-13,connected,free,2025-07-17,B,digits_only,TH-02267,TH-02267,resolved,False
TH-02268,B,Petra Niehaus,Uferstraße 13,redacted,22,03.01.2023,connected,free,2025-05-29,B,canonical,TH-02268,TH-02268,resolved,False
th-02269,OEM_B,Frank Radtke,Gartenstraße 132,redacted,4,21.03.2025,connected,free,2025-05-26,B,canonical,TH-02269,TH-02269,resolved,False
TH-02270,OEM B,Katrin Brinkmann,Mühlenstraße 45b,redacted,20,05.03.2025,connected,care,2025-10-15,B,canonical,TH-02270,TH-02270,resolved,False
  TH-02271 ,OEM B,Jens Zschiesche,Kirchweg 11b,redacted,22,2025-07-09,connected,care,,B,canonical,TH-02271,TH-02271,resolved,False
TH-02272,oem-b,Gudrun Zschiesche,Gartenstraße 12a,redacted,22,2023-07-05,connected,care,,B,canonical,TH-02272,TH-02272,resolved,False
th-02273,OEM B,Thorsten Lindemann,Waldsaum 61a,redacted,10,2025-11-30,connected,care,2024-10-26,B,canonical,TH-02273,TH-02273,resolved,False
  TH-02274 ,B,Petra Dettmer,Im Winkel 142,redacted,4,2025-07-25,not_connected,care_plus,,B,canonical,TH-02274,TH-02274,resolved,False
TH-02275,OEM_B,Claudia Gebhardt,Dorfstraße 9,redacted,12,2024-07-03,connected,optimize,2026-03-03,B,canonical,TH-02275,TH-02275,resolved,False
TH-02276,OEM B,Rainer Dettmer,Feldmark 52,redacted,81,2023-01-10,not_connected,optimize,2025-11-15,B,canonical,TH-02276,TH-02276,resolved,False
TH-02277,OEM_B,Frank Weinhold,Ostpreußenweg 20a,redacted,10,2025-06-24,connected,care_plus,,B,canonical,TH-02277,TH-02277,resolved,False
  TH-02278 ,oem-b,Kerstin Jansen,Buchenkamp 62,redacted,80,2025-11-15,connected,care,2026-01-15,B,canonical,TH-02278,TH-02278,resolved,False
TH 02279,OEM B,Gerhard Sassenberg,Schulstraße 5b,redacted,60,2023-02-06,connected,free,2025-07-22,B,format_variant,TH-02279,TH-02279,resolved,False
  TH-02280 ,OEM_B,Volker Pfefferle,Uferstraße 117a,redacted,90,2025-01-18,connected,free,2026-01-28,B,canonical,TH-02280,TH-02280,resolved,False
TH-02281,OEM_B,Ingrid Kaminski,Tannenweg 65a,redacted,81,12.07.2023,connected,care,,B,canonical,TH-02281,TH-02281,resolved,False
TH-02282,oem-b,Petra Ebeling,Schulstraße 119a,redacted,22,29.01.2025,not_connected,free,2026-02-16,B,canonical,TH-02282,TH-02282,resolved,False
TH-02283,oem-b,Lothar Oberkamp,Quellenstraße 63a,redacted,44,2023-01-23,connected,free,2026-01-16,B,canonical,TH-02283,TH-02283,resolved,False
th-02284,oem-b,Volker Dettmer,Erlenring 18b,redacted,13,18.05.2025,not_connected,optimize,2026-04-15,B,canonical,TH-02284,TH-02284,resolved,False
TH-02285,OEM_B,Christoph Fährmann,Uferstraße 61a,redacted,22,30.04.2024,connected,optimize,2024-07-24,B,canonical,TH-02285,TH-02285,resolved,False
TH-02286,OEM_B,Elke Sassenberg,Tannenweg 108b,redacted,80,2024-04-28,connected,care,2026-01-14,B,canonical,TH-02286,TH-02286,resolved,False
TH-02287,B,Jens Ahrens,Kirchweg 99,redacted,12,2025-01-03,connected,free,,B,canonical,TH-02287,TH-02287,resolved,False
TH-02288,oem-b,Ahmet Möllenkamp,Uferstraße 14,redacted,81,2023-12-17,connected,care,,B,canonical,TH-02288,TH-02288,resolved,False
TH-02289,OEM_B,Volker Gebhardt,Rosenkamp 65,redacted,70,08.04.2025,unknown,free,2026-02-19,B,canonical,TH-02289,TH-02289,resolved,False
TH-02290,OEM B,Elke Ebeling,Waldsaum 124,redacted,20,05.10.2025,connected,care,,B,canonical,TH-02290,TH-02290,resolved,False
TH-02291-1,OEM_C ,Ulrike Pfefferle,Feldmark 88,redacted,40,21.11.2024,not_connected,care_plus,2025-10-21,C,suffix_variant,,TH-02291,suffix_unresolved,False
TH-02292,C,Ahmet Hillebrand,Gartenstraße 72,redacted,12,2024-08-16,connected,care,2024-12-12,C,canonical,TH-02292,TH-02292,resolved,False
TH-02293,OEM_C,Holger Vollmer,Rosenkamp 27b,redacted,30,2026-02-23,not_connected,care,,C,canonical,TH-02293,TH-02293,resolved,False
TH-02294,OEM_C,Eva Radtke,Tannenweg 33,redacted,22,22.09.2024,connected,optimize,2025-08-02,C,canonical,TH-02294,TH-02294,resolved,False
TH-02295,oem c,Ingrid Weinhold,Im Winkel 118,redacted,50,2024-01-16,not_connected,care,2026-03-15,C,canonical,TH-02295,TH-02295,resolved,False
TH-02296-1,oem c,Gudrun Vollmer,Kirchweg 8a,redacted,22,19.06.2023,connected,care,2024-10-05,C,suffix_variant,,TH-02296,telemetry_confirmed_suffix,False
TH-02297,C,Petra Jansen,Ahornweg 94,redacted,60,2025-03-17,connected,free,2025-02-12,C,canonical,TH-02297,TH-02297,resolved,False
  TH-02298 ,OEM_C,Dieter Niehaus,Erlenring 138,redacted,80,04.06.2024,connected,free,,C,canonical,TH-02298,TH-02298,resolved,False
th-02299,OEM_C ,Thorsten Brinkmann,Erlenring 100a,redacted,40,2023-11-16,connected,free,2026-01-08,C,canonical,TH-02299,TH-02299,resolved,False
TH 02300,C,Heike Uhlig,Uferstraße 47a,redacted,81,2025-02-13,connected,optimize,2025-05-29,C,format_variant,TH-02300,TH-02300,resolved,False
TH-02301,OEM_C,Lothar Gebhardt,Erlenring 7a,redacted,20,12.08.2023,unknown,optimize,,C,canonical,TH-02301,TH-02301,resolved,False
TH-02302,C,Dagmar Radtke,Dorfstraße 112,redacted,81,29.01.2024,connected,care,2026-01-03,C,canonical,TH-02302,TH-02302,resolved,False
TH-02303,C,Ahmet Sassenberg,Nordring 134b,redacted,20,25.04.2025,connected,free,2024-10-09,C,canonical,TH-02303,TH-02303,resolved,False
TH-02304,oem c,Rainer Ahrens,Uferstraße 22,redacted,10,2025-04-01,connected,free,2025-04-18,C,canonical,TH-02304,TH-02304,resolved,False
02305,oem c,Ulrike Uhlig,Uferstraße 95,redacted,44,2024-05-09,not_connected,free,,C,digits_only,TH-02305,TH-02305,resolved,False
TH-02306,C,Lothar Lindemann,Dorfstraße 7b,redacted,60,10.12.2023,unknown,free,2025-09-06,C,canonical,TH-02306,TH-02306,resolved,False
TH 02307,C,Dagmar Fährmann,Hauptstraße 73a,redacted,70,2023-07-23,connected,free,2025-02-12,C,format_variant,TH-02307,TH-02307,resolved,False
TH-02308-1,C,Gudrun Hillebrand,Tannenweg 123,redacted,90,22.04.2025,connected,free,2026-03-09,C,suffix_variant,,TH-02308,telemetry_confirmed_suffix,False
TH-02309,oem c,Jens Gebhardt,Nordring 119,redacted,90,19.04.2025,connected,optimize,2024-08-12,C,canonical,TH-02309,TH-02309,resolved,False
  TH-02310 ,OEM_C,Kerstin Kaminski,Birkenallee 46,redacted,40,2024-02-23,unknown,free,,C,canonical,TH-02310,TH-02310,resolved,False
TH-02311,oem c,Ulrike Brinkmann,Buchenkamp 98,redacted,40,2023-05-10,connected,free,2024-09-22,C,canonical,TH-02311,TH-02311,resolved,False
TH-02312,oem c,Thorsten Oestreich,Uferstraße 38,redacted,50,2024-08-03,connected,care_plus,2024-07-09,C,canonical,TH-02312,TH-02312,resolved,False
TH-02313,OEM_C ,Ulrike Oestreich,Kirchweg 28,redacted,81,2023-09-09,connected,care,,C,canonical,TH-02313,TH-02313,resolved,False
02314,OEM_C,Jörg Brinkmann,Lindenhof 125,redacted,80,01.01.2024,connected,optimize,2026-04-20,C,digits_only,TH-02314,TH-02314,resolved,False
th-02315,oem c,Holger Sassenberg,Buchenkamp 18,redacted,70,2023-03-25,not_connected,free,2025-09-21,C,canonical,TH-02315,TH-02315,resolved,False
th-02316,OEM_C,Holger Sassenberg,Kirchweg 122,redacted,50,2023-11-08,connected,care,2025-07-11,C,canonical,TH-02316,TH-02316,resolved,False
TH-02317,oem c,Heike Thiemann,Lindenhof 111a,redacted,81,07.12.2024,connected,care_plus,2024-10-30,C,canonical,TH-02317,TH-02317,resolved,False
TH-02318,OEM_C,Volker Lindemann,Feldmark 115,redacted,50,19.11.2023,not_connected,care,,C,canonical,TH-02318,TH-02318,resolved,False
th-02319,OEM_C ,Claudia Hillebrand,Erlenring 105,redacted,10,2023-04-26,connected,care,2025-05-08,C,canonical,TH-02319,TH-02319,resolved,False
TH-02320,OEM_C,Rainer Jansen,Mühlenstraße 98,redacted,81,06.07.2023,not_connected,free,2024-12-19,C,canonical,TH-02320,TH-02320,resolved,False
TH 02321,OEM_C ,Christoph Vollmer,Rosenkamp 12,redacted,22,2025-02-22,not_connected,care,2025-07-10,C,format_variant,TH-02321,TH-02321,resolved,False
  TH-02322 ,OEM_C,Rainer Sassenberg,Schulstraße 6,redacted,80,13.08.2025,connected,care_plus,2025-05-09,C,canonical,TH-02322,TH-02322,resolved,False
02323,OEM_C,Ahmet Oestreich,Schulstraße 15b,redacted,81,2024-10-10,connected,free,2024-12-08,C,digits_only,TH-02323,TH-02323,resolved,False
TH-02324,oem c,Gudrun Brinkmann,Pappelweg 106,redacted,4,22.01.2026,connected,care_plus,,C,canonical,TH-02324,TH-02324,resolved,False
TH-02325,OEM_C,Andreas Gebhardt,Hauptstraße 20,redacted,44,26.03.2025,not_connected,care,2024-12-10,C,canonical,TH-02325,TH-02325,resolved,False
TH-02326,OEM_C ,Thorsten Weinhold,Nordring 44,redacted,80,31.10.2024,not_connected,care,2024-08-19,C,canonical,TH-02326,TH-02326,resolved,False
02327,OEM_C ,Wiebke Hillebrand,Lindenhof 99b,redacted,90,04.07.2024,not_connected,free,2025-08-08,C,digits_only,TH-02327,TH-02327,resolved,False
TH-02328,OEM_C,Gerhard Kaminski,Mühlenstraße 17a,redacted,20,13.10.2023,not_connected,care_plus,2024-10-15,C,canonical,TH-02328,TH-02328,resolved,False
TH-02329,oem c,Dieter Uhlig,Waldsaum 123,redacted,90,07.07.2025,not_connected,optimize,,C,canonical,TH-02329,TH-02329,resolved,False
TH-02330,oem c,Dieter Gebhardt,Ostpreußenweg 143,redacted,60,2025-10-23,not_connected,free,2025-01-20,C,canonical,TH-02330,TH-02330,resolved,False
TH-02331,OEM_C ,Jörg Kaminski,Erlenring 3,redacted,10,18.01.2026,connected,free,2025-02-17,C,canonical,TH-02331,TH-02331,resolved,False
TH-02332,OEM_C,Thorsten Lindemann,Gartenstraße 70,redacted,20,24.10.2024,not_connected,care,2025-07-31,C,canonical,TH-02332,TH-02332,resolved,False
TH-02333,C,Dagmar Hillebrand,Quellenstraße 76,redacted,30,28.05.2023,connected,free,2025-09-14,C,canonical,TH-02333,TH-02333,resolved,False
  TH-02334 ,OEM_C ,Lothar Vollmer,Nordring 41,redacted,22,2023-05-25,not_connected,care,,C,canonical,TH-02334,TH-02334,resolved,False
TH-02335,oem c,Christoph Uhlig,Rosenkamp 12a,redacted,81,2025-10-26,connected,care,,C,canonical,TH-02335,TH-02335,resolved,False
  TH-02336 ,OEM_C,Kerstin Kaminski,Lindenhof 129,redacted,70,21.09.2025,connected,care,2025-09-01,C,canonical,TH-02336,TH-02336,resolved,False
TH-02337,OEM_C,Petra Bartels,Birkenallee 121,redacted,50,2026-02-01,connected,care,2025-08-08,C,canonical,TH-02337,TH-02337,resolved,False
TH-02338,oem c,Frank Kortmann,Waldsaum 97,redacted,60,2023-07-24,connected,care,2024-10-11,C,canonical,TH-02338,TH-02338,resolved,False
02339,OEM_C,Bettina Gebhardt,Im Winkel 147,redacted,13,2025-02-06,connected,free,2026-04-09,C,digits_only,TH-02339,TH-02339,resolved,False
TH-02340,OEM_C ,Ulrike Uhlig,Tannenweg 102,redacted,40,2024-05-14,connected,free,2026-02-12,C,canonical,TH-02340,TH-02340,resolved,False
02341,C,Gudrun Vollmer,Buchenkamp 128a,redacted,22,2025-08-28,connected,free,2025-12-04,C,digits_only,TH-02341,TH-02341,resolved,False
TH-02342,C,Elke Gebhardt,Feldmark 122,redacted,90,2023-08-29,connected,optimize,2026-04-04,C,canonical,TH-02342,TH-02342,resolved,False
TH-02343,OEM_C ,Dagmar Radtke,Rosenkamp 29,redacted,81,2025-08-02,connected,free,2026-01-23,C,canonical,TH-02343,TH-02343,resolved,False
th-02344,OEM_C,Bogdan Vollmer,Uferstraße 38,redacted,40,2026-01-19,connected,care,2025-05-20,C,canonical,TH-02344,TH-02344,resolved,False
TH-02345,OEM_C ,Dieter Sassenberg,Erlenring 101,redacted,60,2024-11-13,connected,optimize,2025-10-23,C,canonical,TH-02345,TH-02345,resolved,False
